"Draw","chain","par","value","parameter","Behavior","Animal","Track","step","Previous_State"
205,1,"alpha[1]",0.684735162833364,"alpha","Traveling->Traveling",NA,NA,NA,1
206,1,"alpha[1]",0.811556024005423,"alpha","Traveling->Traveling",NA,NA,NA,1
207,1,"alpha[1]",0.713633869642801,"alpha","Traveling->Traveling",NA,NA,NA,1
208,1,"alpha[1]",0.878153009828429,"alpha","Traveling->Traveling",NA,NA,NA,1
209,1,"alpha[1]",0.850336281047625,"alpha","Traveling->Traveling",NA,NA,NA,1
210,1,"alpha[1]",0.837602046223782,"alpha","Traveling->Traveling",NA,NA,NA,1
211,1,"alpha[1]",0.563052967868491,"alpha","Traveling->Traveling",NA,NA,NA,1
212,1,"alpha[1]",0.494654842408835,"alpha","Traveling->Traveling",NA,NA,NA,1
213,1,"alpha[1]",0.659681039078334,"alpha","Traveling->Traveling",NA,NA,NA,1
214,1,"alpha[1]",0.846211691458793,"alpha","Traveling->Traveling",NA,NA,NA,1
215,1,"alpha[1]",0.702983978041154,"alpha","Traveling->Traveling",NA,NA,NA,1
216,1,"alpha[1]",0.190747419087036,"alpha","Traveling->Traveling",NA,NA,NA,1
217,1,"alpha[1]",0.269243061990371,"alpha","Traveling->Traveling",NA,NA,NA,1
218,1,"alpha[1]",0.0241090813658058,"alpha","Traveling->Traveling",NA,NA,NA,1
219,1,"alpha[1]",0.123207752871826,"alpha","Traveling->Traveling",NA,NA,NA,1
220,1,"alpha[1]",0.498415431216067,"alpha","Traveling->Traveling",NA,NA,NA,1
221,1,"alpha[1]",0.779448271254211,"alpha","Traveling->Traveling",NA,NA,NA,1
222,1,"alpha[1]",0.915410245345157,"alpha","Traveling->Traveling",NA,NA,NA,1
223,1,"alpha[1]",0.96872639229801,"alpha","Traveling->Traveling",NA,NA,NA,1
224,1,"alpha[1]",0.993659456375177,"alpha","Traveling->Traveling",NA,NA,NA,1
225,1,"alpha[1]",0.982564864753479,"alpha","Traveling->Traveling",NA,NA,NA,1
226,1,"alpha[1]",0.903090872766534,"alpha","Traveling->Traveling",NA,NA,NA,1
227,1,"alpha[1]",0.981812782334642,"alpha","Traveling->Traveling",NA,NA,NA,1
228,1,"alpha[1]",0.9544576118458,"alpha","Traveling->Traveling",NA,NA,NA,1
229,1,"alpha[1]",0.526730032241779,"alpha","Traveling->Traveling",NA,NA,NA,1
230,1,"alpha[1]",0.779292620105418,"alpha","Traveling->Traveling",NA,NA,NA,1
231,1,"alpha[1]",0.781773676980806,"alpha","Traveling->Traveling",NA,NA,NA,1
232,1,"alpha[1]",0.973302876577647,"alpha","Traveling->Traveling",NA,NA,NA,1
233,1,"alpha[1]",0.966248478703125,"alpha","Traveling->Traveling",NA,NA,NA,1
234,1,"alpha[1]",0.743855235033142,"alpha","Traveling->Traveling",NA,NA,NA,1
235,1,"alpha[1]",0.51340014840244,"alpha","Traveling->Traveling",NA,NA,NA,1
236,1,"alpha[1]",0.864628192177214,"alpha","Traveling->Traveling",NA,NA,NA,1
237,1,"alpha[1]",0.885966708902965,"alpha","Traveling->Traveling",NA,NA,NA,1
238,1,"alpha[1]",0.915675340509937,"alpha","Traveling->Traveling",NA,NA,NA,1
239,1,"alpha[1]",0.423306488531235,"alpha","Traveling->Traveling",NA,NA,NA,1
240,1,"alpha[1]",0.918323392864816,"alpha","Traveling->Traveling",NA,NA,NA,1
241,1,"alpha[1]",0.838898514104277,"alpha","Traveling->Traveling",NA,NA,NA,1
242,1,"alpha[1]",0.978665826278635,"alpha","Traveling->Traveling",NA,NA,NA,1
243,1,"alpha[1]",0.954145517918868,"alpha","Traveling->Traveling",NA,NA,NA,1
244,1,"alpha[1]",0.983638464892193,"alpha","Traveling->Traveling",NA,NA,NA,1
245,1,"alpha[1]",0.0955950993403476,"alpha","Traveling->Traveling",NA,NA,NA,1
246,1,"alpha[1]",0.266385931477365,"alpha","Traveling->Traveling",NA,NA,NA,1
247,1,"alpha[1]",0.337039294899686,"alpha","Traveling->Traveling",NA,NA,NA,1
248,1,"alpha[1]",0.827084701285423,"alpha","Traveling->Traveling",NA,NA,NA,1
249,1,"alpha[1]",0.886993406515939,"alpha","Traveling->Traveling",NA,NA,NA,1
