DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
166126,166126,Mk10,01:07:27 08-May-2017,Argos,B,-64.5757,-62.1271,11432,71826,1819,79,,,,,,
166126,166126,Mk10,01:27:44 08-May-2017,Argos,1,-64.6010,-62.2561,558,972,320,82,,,,,,
166126,166126,Mk10,01:50:14 08-May-2017,Argos,2,-64.6098,-62.2646,351,1623,75,85,,,,,,
166126,166126,Mk10,01:52:47 08-May-2017,Argos,0,-64.6073,-62.2791,2765,14384,531,100,,,,,,
166126,166126,Mk10,02:02:10 08-May-2017,Argos,1,-64.6085,-62.2684,652,1089,389,80,,,,,,
166126,166126,Mk10,02:39:27 08-May-2017,Argos,B,-64.5954,-62.2699,2783,24324,318,72,,,,,,
166126,166126,Mk10,03:07:21 08-May-2017,Argos,A,-64.6148,-62.2774,1613,3729,697,145,,,,,,
166126,166126,Mk10,03:27:21 08-May-2017,Argos,A,-64.6093,-62.3072,756,2414,236,107,,,,,,
166126,166126,Mk10,03:27:21 08-May-2017,Argos,0,-64.6087,-62.2886,1651,7237,376,109,,,,,,
166126,166126,Mk10,03:41:02 08-May-2017,Argos,1,-64.5974,-62.2910,1380,8897,214,92,,,,,,
166126,166126,Mk10,04:28:48 08-May-2017,Argos,B,-64.6008,-62.3191,1741,4369,693,96,,,,,,
166126,166126,Mk10,04:44:47 08-May-2017,Argos,B,-64.6027,-62.3038,1395,3164,614,99,,,,,,
166126,166126,Mk10,05:11:58 08-May-2017,Argos,1,-64.5913,-62.2410,1302,2839,597,21,,,,,,
166126,166126,Mk10,05:12:34 08-May-2017,Argos,1,-64.5990,-62.2593,945,9738,91,98,,,,,,
166126,166126,Mk10,06:20:54 08-May-2017,Argos,1,-64.5948,-62.2551,1235,4498,339,71,,,,,,
166126,166126,Mk10,06:49:00 08-May-2017,Argos,2,-64.6030,-62.2769,323,979,106,89,,,,,,
166126,166126,Mk10,06:51:46 08-May-2017,Argos,2,-64.5960,-62.2763,255,1123,57,94,,,,,,
166126,166126,Mk10,06:59:33 08-May-2017,Argos,1,-64.5919,-62.2564,1252,4464,351,74,,,,,,
166126,166126,Mk10,07:59:07 08-May-2017,Argos,B,-64.5936,-62.2280,3283,3867,2786,83,,,,,,
166126,166126,Mk10,07:59:11 08-May-2017,Argos,2,-64.5942,-62.2674,427,912,200,108,,,,,,
166126,166126,Mk10,08:25:59 08-May-2017,Argos,1,-64.5929,-62.2953,741,2074,264,96,,,,,,
166126,166126,Mk10,08:32:53 08-May-2017,Argos,B,-64.5940,-62.2853,1562,3354,727,90,,,,,,
166126,166126,Mk10,08:40:43 08-May-2017,Argos,A,-64.5917,-62.2249,955,6859,133,93,,,,,,
166126,166126,Mk10,09:37:23 08-May-2017,Argos,B,-64.5908,-62.2199,1019,6565,158,100,,,,,,
166126,166126,Mk10,10:05:42 08-May-2017,Argos,1,-64.5726,-62.2316,608,1344,274,77,,,,,,
166126,166126,Mk10,10:19:46 08-May-2017,Argos,A,-64.5867,-62.2075,282,2369,33,109,,,,,,
166126,166126,Mk10,11:17:46 08-May-2017,Argos,1,-64.5755,-62.2219,1205,8519,170,81,,,,,,
166126,166126,Mk10,11:22:56 08-May-2017,Argos,B,-64.5751,-62.2214,1023,4273,244,82,,,,,,
166126,166126,Mk10,11:43:46 08-May-2017,Argos,2,-64.5710,-62.2245,356,2538,50,100,,,,,,
166126,166126,Mk10,12:01:04 08-May-2017,Argos,2,-64.5689,-62.2087,273,570,130,110,,,,,,
166126,166126,Mk10,00:10:11 09-May-2017,Argos,B,-64.5776,-62.2079,3988,285044,55,87,,,,,,
166126,166126,Mk10,00:58:58 09-May-2017,Argos,1,-64.5675,-62.1878,964,7532,123,102,,,,,,
166126,166126,Mk10,01:27:12 09-May-2017,Argos,A,-64.5624,-62.1896,183,1018,32,81,,,,,,
166126,166126,Mk10,01:39:30 09-May-2017,Argos,A,-64.5518,-62.1105,683,9847,47,82,,,,,,
166126,166126,Mk10,01:49:41 09-May-2017,Argos,1,-64.5566,-62.1622,1055,6586,169,92,,,,,,
166126,166126,Mk10,02:24:14 09-May-2017,Argos,B,-64.5555,-62.1469,2614,9851,693,53,,,,,,
166126,166126,Mk10,02:39:05 09-May-2017,Argos,B,-64.5600,-62.1545,3190,6097,1668,74,,,,,,
166126,166126,Mk10,03:11:22 09-May-2017,Argos,A,-64.5470,-62.1104,598,3166,112,96,,,,,,
166126,166126,Mk10,03:21:11 09-May-2017,Argos,1,-64.5636,-62.1733,569,1531,211,95,,,,,,
166126,166126,Mk10,04:04:48 09-May-2017,Argos,B,-64.5559,-62.1434,4780,12033,1899,85,,,,,,
166126,166126,Mk10,04:17:22 09-May-2017,Argos,3,-64.5848,-62.1730,249,1247,49,86,,,,,,
166126,166126,Mk10,04:51:54 09-May-2017,Argos,B,-64.5817,-62.1758,824,2055,330,88,,,,,,
166126,166126,Mk10,05:00:50 09-May-2017,Argos,3,-64.5681,-62.1636,217,935,50,102,,,,,,
166126,166126,Mk10,05:07:38 09-May-2017,Argos,B,-64.5642,-62.1698,961,2786,331,82,,,,,,
166126,166126,Mk10,05:54:52 09-May-2017,Argos,1,-64.5454,-62.1673,567,1352,237,67,,,,,,
