DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"131158",131158,SPOT,DS,5,0,0,158,90,08:54:57 15-Jan-2016,N,2,-64.8740,-64.2740,,,50,,401677533,-126,
"131158",131158,SPOT,DS,1,0,0,,,08:59:35 15-Jan-2016,P,B,-64.8730,-64.2770,,,,,401677533,-138,
"131158",131158,SPOT,DS,2,0,0,180,180,09:10:52 15-Jan-2016,R,B,-64.8790,-64.2780,,,,,401677541,-132,
"131158",131158,SPOT,DS,6,0,0,129,83,10:11:19 15-Jan-2016,A,2,-64.8950,-64.2340,,,58,,401677530,-124,
"131158",131158,SPOT,DS,2,0,1,184,184,10:26:23 15-Jan-2016,K,B,-64.8940,-64.2330,,,,,401677526,-135,
"131158",131158,SPOT,DS,4,0,1,96,80,10:37:10 15-Jan-2016,N,1,-64.8860,-64.2200,,,50,,401677532,-127,
"131158",131158,SPOT,DS,4,0,0,163,99,10:54:11 15-Jan-2016,R,1,-64.8890,-64.2360,,,40,,401677535,-120,
"131158",131158,SPOT,DS,3,0,0,240,85,11:08:48 15-Jan-2016,B,A,-64.8970,-64.2360,,,8,,401677532,-133,
"131158",131158,SPOT,DS,9,0,0,70,46,11:54:49 15-Jan-2016,A,2,-64.8910,-64.2670,,,58,,401677532,-119,
"131158",131158,SPOT,DS,1,0,0,,,12:10:07 15-Jan-2016,K,B,-64.8910,-64.2670,,,,,401677536,-135,
"131158",131158,SPOT,DS,3,0,1,133,116,12:51:09 15-Jan-2016,B,A,-64.8950,-64.2410,,,8,,401677535,-127,
"131158",131158,SPOT,DS,3,0,0,176,134,13:37:21 15-Jan-2016,A,A,-64.9030,-64.2510,,,8,,401677532,-118,
"131158",131158,SPOT,DS,2,0,0,52,52,15:16:50 15-Jan-2016,A,B,-64.9040,-64.1930,,,8,,401677520,-127,
"131158",131158,SPOT,DS,4,0,0,129,49,17:45:07 15-Jan-2016,P,2,-64.8460,-64.2190,,,58,,401677530,-130,
"131158",131158,SPOT,DS,1,0,0,,,00:03:48 16-Jan-2016,R,B,-64.8330,-64.1970,,,8,,401677549,-131,
"131158",131158,SPOT,DS,2,0,0,130,130,00:11:07 16-Jan-2016,K,B,-64.8550,-64.2400,,,,,401677531,-121,
"131158",131158,SPOT,DS,7,0,0,74,47,00:26:40 16-Jan-2016,N,3,-64.8630,-64.2860,,,68,,401677528,-128,
"131158",131158,SPOT,DS,6,0,1,76,52,01:40:26 16-Jan-2016,A,1,-64.8850,-64.2980,,,48,,401677531,-122,
"131158",131158,SPOT,DS,4,0,0,102,86,01:49:05 16-Jan-2016,K,2,-64.8860,-64.3180,,,50,,401677529,-131,
"131158",131158,SPOT,DS,6,0,0,91,47,02:05:10 16-Jan-2016,P,1,-64.8950,-64.3110,,,40,,401677529,-129,
"131158",131158,SPOT,DS,6,0,0,70,47,02:07:52 16-Jan-2016,N,1,-64.8930,-64.2880,,,40,,401677534,-129,
"131158",131158,SPOT,DS,8,1,1,,,03:21:25 16-Jan-2016,A,1,-64.8890,-64.2770,,,58,,401677532,-118,
"131158",131158,SPOT,DS,6,0,0,81,56,03:26:21 16-Jan-2016,K,2,-64.8970,-64.2730,,,50,,401677534,-131,
"131158",131158,SPOT,DS,7,1,0,,,03:42:21 16-Jan-2016,P,3,-64.8900,-64.2700,,,58,,401677534,-127,
"131158",131158,SPOT,DS,5,0,0,103,48,03:46:02 16-Jan-2016,N,1,-64.8920,-64.2700,,,50,,401677535,-128,
"131158",131158,SPOT,DS,1,0,1,,,04:11:40 16-Jan-2016,B,B,-64.8930,-64.2690,,,,,401677531,-134,
"131158",131158,SPOT,DS,9,1,0,,,04:58:16 16-Jan-2016,A,2,-64.8780,-64.2700,,,58,,401677531,-127,
"131158",131158,SPOT,DS,8,1,0,,,05:04:19 16-Jan-2016,K,1,-64.8820,-64.2660,,,58,,401677531,-128,
"131158",131158,SPOT,DS,4,0,0,103,94,05:23:02 16-Jan-2016,P,0,-64.8780,-64.2710,,,40,,401677533,-124,
"131158",131158,SPOT,DS,2,0,0,93,93,05:26:20 16-Jan-2016,N,B,-64.8790,-64.2660,,,,,401677533,-132,
"131158",131158,SPOT,DS,2,0,1,342,342,06:38:49 16-Jan-2016,A,B,-64.8760,-64.2690,,,8,,401677533,-124,
"131158",131158,SPOT,DS,2,0,0,176,176,06:43:09 16-Jan-2016,K,B,-64.8770,-64.2590,,,,,401677536,-129,
"131158",131158,SPOT,DS,2,0,0,329,329,07:03:18 16-Jan-2016,P,B,-64.8790,-64.3060,,,,,401677535,-130,
"131158",131158,SPOT,DS,2,0,0,329,329,07:06:03 16-Jan-2016,N,B,-64.8750,-64.2810,,,,,401677535,-131,
"131158",131158,SPOT,DS,2,0,0,251,251,08:19:23 16-Jan-2016,A,B,-64.8890,-64.3490,,,8,,401677538,-133,
"131158",131158,SPOT,DS,2,0,0,251,251,08:19:23 16-Jan-2016,K,B,-64.9000,-64.3280,,,,,401677531,-123,
"131158",131158,SPOT,DS,4,0,0,170,67,08:43:20 16-Jan-2016,N,1,-64.9000,-64.3750,,,50,,401677534,-127,
"131158",131158,SPOT,DS,6,0,0,76,50,09:56:46 16-Jan-2016,A,2,-64.9140,-64.4630,,,58,,401677533,-123,
"131158",131158,SPOT,DS,4,1,0,,,10:02:56 16-Jan-2016,K,3,-64.9240,-64.4500,,,50,,401677530,-125,
"131158",131158,SPOT,DS,5,0,0,83,46,10:22:12 16-Jan-2016,R,2,-64.9240,-64.4700,,,50,,401677537,-124,
"131158",131158,SPOT,DS,4,0,0,93,46,10:24:14 16-Jan-2016,N,1,-64.9050,-64.4280,,,58,,401677534,-133,
"131158",131158,SPOT,DS,1,0,0,,,12:02:51 16-Jan-2016,R,B,-64.9320,-64.5050,,,8,,401677526,-118,
"131158",131158,SPOT,DS,1,0,0,,,12:26:54 16-Jan-2016,B,B,-64.9400,-64.5100,,,,,401677543,-131,
"131158",131158,SPOT,DS,5,0,0,170,68,13:12:20 16-Jan-2016,A,2,-64.9560,-64.5540,,,58,,401677537,-121,
"131158",131158,SPOT,DS,3,0,0,193,80,13:43:12 16-Jan-2016,R,A,-64.9560,-64.5420,,,8,,401677536,-126,
"131158",131158,SPOT,DS,1,0,0,,,14:11:45 16-Jan-2016,B,B,-64.9570,-64.5410,,,,,401677539,-133,
"131158",131158,SPOT,DS,1,0,0,,,14:53:25 16-Jan-2016,A,B,-64.9640,-64.5680,,,8,,401677534,-130,
"131158",131158,SPOT,DS,3,0,0,151,111,15:21:23 16-Jan-2016,R,A,-64.9690,-64.5170,,,8,,401677535,-133,
"131158",131158,SPOT,DS,2,0,0,145,145,16:58:15 16-Jan-2016,R,B,-64.9710,-64.5450,,,8,,401677524,-132,
"131158",131158,SPOT,DS,5,1,0,,,17:30:18 16-Jan-2016,P,1,-64.9720,-64.4840,,,56,,401677540,-132,
"131158",131158,SPOT,DS,6,0,0,73,52,18:35:47 16-Jan-2016,R,2,-64.9640,-64.4650,,,58,,401677532,-127,
"131158",131158,SPOT,DS,8,0,0,104,46,19:14:12 16-Jan-2016,P,3,-64.9550,-64.4610,,,58,,401677532,-124,
"131158",131158,SPOT,DS,1,0,0,,,19:10:48 16-Jan-2016,N,B,-64.9650,-64.4580,,,8,,401677534,-137,
"131158",131158,SPOT,DS,9,3,0,,,20:12:38 16-Jan-2016,R,2,-64.9480,-64.4800,,,48,,401677532,-123,
"131158",131158,SPOT,DS,4,0,0,74,47,20:20:07 16-Jan-2016,K,1,-64.9480,-64.4700,,,50,,401677531,-129,
"131158",131158,SPOT,DS,7,0,0,91,47,20:53:41 16-Jan-2016,P,3,-64.9460,-64.4500,,,50,,401677532,-125,
"131158",131158,SPOT,DS,8,0,1,78,46,20:51:21 16-Jan-2016,N,2,-64.9480,-64.4710,,,58,,401677533,-130,
"131158",131158,SPOT,DS,2,0,0,297,297,00:14:37 17-Jan-2016,P,B,-64.9490,-64.4450,,,8,,401677526,-131,
"131158",131158,SPOT,DS,2,0,0,297,297,00:14:37 17-Jan-2016,N,B,-64.9600,-64.4130,,,,,401677532,-125,
"131158",131158,SPOT,DS,5,0,0,133,64,01:13:48 17-Jan-2016,A,1,-64.9210,-64.3500,,,48,,401677530,-125,
"131158",131158,SPOT,DS,4,0,1,104,64,01:23:57 17-Jan-2016,K,1,-64.9290,-64.3530,,,40,,401677532,-125,
"131158",131158,SPOT,DS,3,0,0,129,128,01:51:02 17-Jan-2016,P,A,-64.9210,-64.2670,,,8,,401677539,-131,
"131158",131158,SPOT,DS,3,0,1,265,128,01:54:43 17-Jan-2016,N,A,-64.9320,-64.2930,,,,,401677531,-128,
"131158",131158,SPOT,DS,1,0,0,,,02:12:09 17-Jan-2016,B,B,-64.9270,-64.2850,,,,,401677539,-134,
"131158",131158,SPOT,DS,6,0,0,115,46,02:55:14 17-Jan-2016,A,0,-64.9290,-64.1410,,,48,,401677531,-118,
"131158",131158,SPOT,DS,4,0,0,71,46,03:02:13 17-Jan-2016,K,0,-64.9310,-64.1550,,,58,,401677529,-129,
"131158",131158,SPOT,DS,5,1,0,,,03:30:59 17-Jan-2016,P,1,-64.9260,-64.1150,,,40,,401677532,-125,
"131158",131158,SPOT,DS,2,0,0,206,206,03:32:29 17-Jan-2016,N,B,-64.9260,-64.1130,,,,,401677531,-129,
"131158",131158,SPOT,DS,2,0,0,198,198,03:54:56 17-Jan-2016,B,B,-64.9190,-64.1310,,,,,401677543,-129,
"131158",131158,SPOT,DS,11,0,1,69,47,04:39:04 17-Jan-2016,A,2,-64.8960,-64.1330,,,58,,401677534,-120,
"131158",131158,SPOT,DS,4,0,2,60,50,04:39:33 17-Jan-2016,K,0,-64.8810,-64.0670,,,57,,401677550,-133,
"131158",131158,SPOT,DS,7,0,0,115,84,05:06:19 17-Jan-2016,P,1,-64.8930,-64.1030,,,48,,401677534,-120,
"131158",131158,SPOT,DS,5,0,2,111,84,05:12:45 17-Jan-2016,N,2,-64.8560,-64.1460,,,50,,401677538,-132,
"131158",131158,SPOT,DS,1,0,0,,,05:28:46 17-Jan-2016,B,B,-64.8540,-64.1260,,,,,401677539,-134,
"131158",131158,SPOT,DS,5,0,1,147,98,06:18:43 17-Jan-2016,K,1,-64.8240,-64.2490,,,40,,401677530,-133,
"131158",131158,SPOT,DS,2,0,0,153,153,06:18:03 17-Jan-2016,A,B,-64.8060,-64.0850,,,6,,401677559,-124,
"131158",131158,SPOT,DS,3,0,0,279,56,06:49:47 17-Jan-2016,P,A,-64.8410,-64.2090,,,8,,401677531,-133,
"131158",131158,SPOT,DS,3,0,0,156,56,06:57:02 17-Jan-2016,N,A,-64.8150,-64.3240,,,,,401677520,-130,
"131158",131158,SPOT,DS,4,0,1,142,94,07:56:32 17-Jan-2016,A,1,-64.8200,-64.1770,,,48,,401677528,-122,
"131158",131158,SPOT,DS,5,0,0,132,94,07:57:33 17-Jan-2016,K,2,-64.8170,-64.1680,,,58,,401677530,-123,
"131158",131158,SPOT,DS,3,0,1,163,85,08:10:50 17-Jan-2016,R,A,-64.8170,-64.1670,,,8,,401677530,-138,
"131158",131158,SPOT,DS,6,0,0,101,48,08:29:27 17-Jan-2016,N,0,-64.8250,-64.1250,,,50,,401677531,-127,
"131158",131158,SPOT,DS,3,0,0,69,48,08:33:33 17-Jan-2016,P,A,-64.8140,-64.1800,,,,,401677532,-133,
"131158",131158,SPOT,DS,1,0,0,,,09:38:12 17-Jan-2016,A,B,-64.8100,-64.0950,,,7,,401677553,-131,
"131158",131158,SPOT,DS,3,0,1,61,48,09:39:09 17-Jan-2016,K,A,-64.8160,-64.1800,,,,,401677532,-125,
"131158",131158,SPOT,DS,2,0,0,104,104,09:50:19 17-Jan-2016,R,B,-64.7920,-64.1170,,,8,,401677510,-130,
"131158",131158,SPOT,DS,3,0,1,74,48,10:13:55 17-Jan-2016,N,A,-64.8170,-64.2380,,,,,401677532,-132,
"131158",131158,SPOT,DS,4,0,0,126,74,11:10:53 17-Jan-2016,A,1,-64.7970,-64.3120,,,48,,401677528,-122,
"131158",131158,SPOT,DS,1,0,0,,,12:51:47 17-Jan-2016,A,B,-64.7850,-64.2740,,,7,,401677557,-125,
"131158",131158,SPOT,DS,1,0,1,,,13:12:15 17-Jan-2016,R,B,-64.7880,-64.2370,,,8,,401677509,-133,
"131158",131158,SPOT,DS,1,0,1,,,13:48:39 17-Jan-2016,B,B,-64.8350,-64.2660,,,5,,401677555,-129,
"131158",131158,SPOT,DS,1,0,0,,,14:37:56 17-Jan-2016,A,B,-64.8540,-64.3230,,,8,,401677517,-134,
"131158",131158,SPOT,DS,1,0,0,,,19:00:52 17-Jan-2016,P,B,-64.9390,-64.3720,,,8,,401677513,-131,
"131158",131158,SPOT,DS,1,0,0,,,19:53:24 17-Jan-2016,K,B,-64.9220,-64.3910,,,8,,401677467,-140,
"131158",131158,SPOT,DS,1,0,0,,,20:45:54 17-Jan-2016,P,B,-64.9140,-64.6330,,,5,,401677562,-132,
"131158",131158,SPOT,DS,1,0,0,,,21:18:40 17-Jan-2016,R,B,-64.9130,-64.6800,,,8,,401677559,-131,
"131158",131158,SPOT,DS,1,0,0,,,22:23:45 17-Jan-2016,N,B,-64.8540,-65.0120,,,6,,401677598,-125,
"131158",131158,SPOT,DS,1,0,0,,,22:23:45 17-Jan-2016,P,B,-64.8490,-64.9930,,,6,,401677609,-135,
