DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
166127,166127,,Transmission,Mk10,TAD,00:00:00 08-May-2017,3.000000,5,0,,,,11,100,17.8,18.0,2.8,1.5,3.5,5.2,5,6.5,36.7,3.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,TAD,06:00:00 08-May-2017,3.000000,4,0,,,,11,100,21.4,17.9,3.6,2.4,5.1,5.4,5.6,7.6,24.2,6.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,TAD,12:00:00 08-May-2017,3.000000,2,0,,,,11,100.000000,27.4,29.2,8.2,6.4,19.7,8.2,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,TAD,18:00:00 08-May-2017,3.000000,1,0,,,,11,100,9.9,23.5,15.6,19.0,28.1,3.1,1.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,TAD,00:00:00 09-May-2017,3.000000,2,0,,,,11,100.000000,10.7,20.1,9.1,8.6,11.7,7.0,4.1,4.2,14.6,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,TAD,06:00:00 09-May-2017,2.000000,6,0,,,,11,100,18.1,15.4,2.2,1.8,4.0,5.6,5.1,5.8,25.6,16.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,TAD,12:00:00 09-May-2017,2.000000,3,0,,,,11,100,39.2,14.2,3.3,7.4,33.6,2.2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,TAD,18:00:00 09-May-2017,2.000000,1,0,,,,11,100.000000,31.4,13.1,6.1,6.4,5.8,4.3,4.3,6.0,22.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,TAD,00:00:00 10-May-2017,2.000000,3,0,,,,11,100,23.5,15.0,1.8,2.1,4.3,5.8,4.4,5.0,19.4,18.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,TAD,12:00:00 10-May-2017,2.000000,3,0,,,,11,100,17.1,15.6,7.4,20.2,36.7,3.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,TAD,18:00:00 10-May-2017,2.000000,4,0,,,,11,100.000000,14.7,25.5,18.0,20.1,14.7,5.4,1.4,0.1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,TAD,00:00:00 11-May-2017,2.000000,3,0,,,,11,100.000000,11.7,26.3,12.0,2.6,3.3,5.3,4.9,7.5,19.4,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,TAD,18:00:00 11-May-2017,2.000000,1,0,,,,11,100.000000,9.1,22.1,7.1,17.0,7.1,5.4,7.4,5.1,9.9,9.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,TAD,06:00:00 12-May-2017,2.000000,1,0,,,,11,100.000000,5.4,27.5,15.4,24.2,16.3,7.6,2.1,1.3,0.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,TAD,00:00:00 13-May-2017,2.000000,1,0,,,,11,100.000000,5.6,21.1,5.8,4.6,14.6,17.7,13.2,7.8,9.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,14:00:00 03-May-2017,3.000000,15,0,,,,9,23,8,5,4,3,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,18:00:00 03-May-2017,3.000000,16,0,,,,9,36,6,0,4,3,3,7,8,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,00:00:00 04-May-2017,3.000000,5,0,,,,9,26,4,0,0,0,0,0,10,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,06:00:00 04-May-2017,3.000000,6,0,,,,9,41,16,1,0,0,0,0,17,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,12:00:00 04-May-2017,3.000000,6,0,,,,9,21,4,1,7,1,0,0,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,18:00:00 04-May-2017,3.000000,9,0,,,,9,28,2,3,1,0,0,8,9,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,00:00:00 05-May-2017,3.000000,2,0,,,,9,34,6,1,1,2,5,9,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,06:00:00 05-May-2017,3.000000,8,0,,,,9,49,13,7,14,5,0,1,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,12:00:00 05-May-2017,3.000000,4,0,,,,9,39,12,2,20,1,2,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,18:00:00 05-May-2017,3.000000,6,0,,,,9,55,14,8,19,1,1,1,4,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,00:00:00 06-May-2017,3.000000,5,0,,,,9,82,12,21,30,17,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,12:00:00 06-May-2017,3.000000,8,0,,,,9,35,1,10,24,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,18:00:00 06-May-2017,3.000000,6,0,,,,9,39,7,6,8,3,2,4,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,00:00:00 07-May-2017,3.000000,4,0,,,,9,26,7,0,0,0,0,0,13,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,06:00:00 07-May-2017,3.000000,2,0,,,,9,30,8,1,1,0,0,0,4,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,12:00:00 07-May-2017,3.000000,2,0,,,,9,22,3,3,14,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,00:00:00 08-May-2017,3.000000,4,0,,,,9,27,7,0,0,0,0,0,11,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,06:00:00 08-May-2017,3.000000,4,0,,,,9,31,9,1,1,0,0,0,8,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,12:00:00 08-May-2017,3.000000,6,0,,,,9,23,1,1,9,9,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,18:00:00 08-May-2017,3.000000,2,0,,,,9,73,21,10,34,6,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,00:00:00 09-May-2017,3.000000,2,0,,,,9,55,18,9,8,8,0,0,5,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,06:00:00 09-May-2017,2.000000,2,0,,,,9,29,9,1,0,1,0,0,6,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,12:00:00 09-May-2017,2.000000,4,0,,,,9,16,1,1,10,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,18:00:00 09-May-2017,2.000000,1,0,,,,9,31,8,6,3,0,0,1,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,00:00:00 10-May-2017,2.000000,1,0,,,,9,26,4,1,1,0,0,0,2,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,06:00:00 10-May-2017,2.000000,1,0,,,,9,23,2,0,2,0,0,0,16,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,12:00:00 10-May-2017,2.000000,3,0,,,,9,41,3,5,28,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,18:00:00 10-May-2017,2.000000,2,0,,,,9,73,26,24,16,5,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,18:00:00 11-May-2017,2.000000,2,0,,,,9,60,23,14,7,0,2,4,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,06:00:00 12-May-2017,2.000000,2,0,,,,9,67,22,21,10,7,5,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,00:00:00 13-May-2017,2.000000,2,0,,,,9,56,18,1,4,8,10,5,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,06:00:00 13-May-2017,2.000000,3,0,,,,9,81,23,15,25,11,4,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,12:00:00 13-May-2017,2.000000,1,0,,,,9,64,13,11,12,26,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDepth,18:00:00 13-May-2017,2.000000,2,0,,,,9,77,22,9,11,22,6,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDuration,14:00:00 03-May-2017,3.000000,15,0,,,,14,23,2,4,1,3,2,8,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDuration,18:00:00 03-May-2017,3.000000,10,0,,,,14,36,6,0,0,0,2,19,8,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDuration,00:00:00 04-May-2017,3.000000,5,0,,,,14,26,3,1,0,0,0,3,18,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDuration,06:00:00 04-May-2017,3.000000,7,0,,,,14,41,13,3,0,0,1,12,12,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDuration,12:00:00 04-May-2017,3.000000,10,0,,,,14,21,2,2,0,0,0,9,8,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDuration,18:00:00 04-May-2017,3.000000,11,0,,,,14,28,1,1,0,0,0,17,9,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDuration,00:00:00 05-May-2017,3.000000,8,0,,,,14,34,4,3,0,0,0,18,6,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDuration,06:00:00 05-May-2017,3.000000,5,0,,,,14,49,7,4,3,7,4,8,12,2,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDuration,12:00:00 05-May-2017,3.000000,5,0,,,,14,39,3,5,4,4,3,12,4,2,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166127,166127,,Transmission,Mk10,DiveDuration,18:00:00 05-May-2017,3.000000,8,0,,,,14,55,6,10,6,6,3,14,8,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
