13440 113211   7  3 L 2 2013-06-14 03:16:51 -12.409  281.872  0.000 401677534
      2013-06-14 03:15:23  1 0.20536E+2   0.34560E+1   0.32000E+3
      2013-06-14 03:15:56  1 0.20536E+2   0.34560E+1   0.32400E+3
      2013-06-14 03:17:18  1 0.20536E+2   0.34560E+1   0.34400E+3
      2013-06-14 03:18:46  1 0.20536E+2   0.34560E+1   0.34800E+3
      2013-06-14 03:19:54  1 0.20536E+2   0.34560E+1   0.36000E+3
      2013-06-14 03:20:45  1 0.20536E+2   0.34560E+1   0.31600E+3
13440 113211   2  3 R B 2013-06-14 12:48:39 -11.661  281.698  0.000 401677460
      2013-06-14 12:48:40  1 0.21244E+2   0.34720E+1   0.36400E+3
13440 113211   6  3 A 3 2013-06-14 14:12:35 -11.811  281.660  0.000 401677537
      2013-06-14 14:12:02  1 0.20300E+2   0.34720E+1   0.35600E+3
      2013-06-14 14:12:32  1 0.20536E+2   0.34720E+1   0.31200E+3
      2013-06-14 14:13:12  1 0.20536E+2   0.34720E+1   0.33200E+3
      2013-06-14 14:15:12  1 0.20772E+2   0.34560E+1   0.40000E+3
      2013-06-14 14:17:48  1 0.20772E+2   0.34560E+1   0.38800E+3
13440 113211   3  3 L B 2013-06-14 14:24:52 -11.802  281.701  0.000 401677549
      2013-06-14 14:23:50  1 0.20772E+2   0.34560E+1   0.38000E+3
      2013-06-14 14:25:55  1 0.20772E+2   0.34560E+1   0.40000E+3
13440 113211   2  3 B B 2013-06-14 15:03:26 -11.763  281.681  0.000 401677541
      2013-06-14 15:03:26  1 0.24312E+2   0.34560E+1   0.36800E+3
13440 121210   9  7 L 3 2013-06-13 01:45:20 -18.096  283.913  0.000 401677536
      2013-06-13 01:42:48  1         29          251          208           61
                                     75           02          142
      2013-06-13 01:49:05  3         29          251          208           61
                                     73           02          144
      2013-06-13 01:51:38  1         29          251          208           62
                                     73           02          143
      2013-06-13 01:52:33  1         29          251          207           67
                                     68           02          144
