13440 096089   3  3 A
      2012-04-17 04:10:29  1         49           65           32
13440 096091   6  3 P 3 2012-04-17 05:40:37 -42.948  147.360  0.000 401677387
      2012-04-17 05:36:31  1         51          185           44
      2012-04-17 05:38:27  1         51          186           44
      2012-04-17 05:39:54  1         50          102          100
      2012-04-17 05:44:15 11         51          186           43
      2012-04-17 05:44:44  1         49          187           35
13440 096091   3  3 K
      2012-04-17 05:50:32  2         51          186           44
      2012-04-17 05:52:28  5         51          186           43
13440 096091   4  3 N 3 2012-04-17 05:47:52 -42.949  147.355  0.000 401677389
      2012-04-17 05:45:13  1         51          185           43
      2012-04-17 05:52:57 16         51          186           43
      2012-04-17 05:53:26  3         51          186           44
13440 096091   4  3 L 0 2012-04-17 19:31:19 -42.963  147.329  0.000 401677397
      2012-04-17 19:29:09  1         51          186           44
      2012-04-17 19:32:03  1         52          186           44
      2012-04-17 19:33:30  2         52          187           44
13440 096091   2  3 A
      2012-04-17 20:27:09  1         52          189           44
13440 096091   5  3 M 3 2012-04-17 20:51:18 -42.952  147.355  0.000 401677404
      2012-04-17 20:49:52  3         52          190           44
      2012-04-17 20:53:15  6         52          190           45
      2012-04-17 20:54:42  1         52          191           45
      2012-04-17 20:55:40  4         52          191           44
13440 096091   3  3 L 3 2012-04-17 21:10:53 -42.950  147.354  0.000 401677402
      2012-04-17 21:11:08  3         52          191           44
      2012-04-17 21:15:29 11         52          191           45
13440 096091   3  3 A 3 2012-04-17 22:04:47 -42.953  147.353  0.000 401677397
      2012-04-17 22:09:08 16         53          192           45
      2012-04-17 22:09:37  1         37          192           45
13440 096091   2  3 M 3 2012-04-17 22:31:07 -42.953  147.347  0.000 401677393
      2012-04-17 22:34:45 13         53          193           45
13440 096091   3  3 L 3 2012-04-17 22:51:25 -42.952  147.351  0.000 401677387
      2012-04-17 22:52:38  1         53          194           44
      2012-04-17 22:55:32 15         53          194           45
13440 096091   3  3 A 2 2012-04-17 23:45:33 -42.953  147.347  0.000 401677376
      2012-04-17 23:42:54  1         54          196           45
      2012-04-17 23:48:13  6         54          196           46
13440 096091   4  3 P A 2012-04-18 02:06:27 -42.940  147.362  0.000 401677371
      2012-04-18 02:04:31  1         55          198           48
      2012-04-18 02:05:00  1         55          198           46
      2012-04-18 02:08:23  1         63          198           46
13440 096091   5  3 P
      2012-04-18 03:44:34  2         55          200           47
      2012-04-18 03:45:03  1         56          200          175
      2012-04-18 03:53:16 11         56          200           47
      2012-04-18 03:54:43  1         56          200           46
13440 096091   3  3 N 2 2012-04-18 03:56:24 -42.946  147.359  0.000 401677370
      2012-04-18 03:55:12  2         56          200           46
      2012-04-18 03:59:04  9         56          200           47
13440 096091   2  3 K B 2012-04-18 05:26:04 -42.941  147.358  0.000 401677373
      2012-04-18 05:26:33  2         56          200           47
13440 096091   3  3 P 3 2012-04-18 05:29:27 -42.949  147.359  0.000 401677377
      2012-04-18 05:24:37  1         56          200           63
      2012-04-18 05:34:17 16         56          200           47
13440 096091   3  3 N 3 2012-04-18 05:38:38 -42.949  147.363  0.000 401677379
      2012-04-18 05:42:59  2         56          200           46
      2012-04-18 05:43:28 17         56          200           47
13440 096091   3  3 K 3 2012-04-18 07:08:03 -42.951  147.348  0.000 401677389
      2012-04-18 07:12:54 14         57          200           47
      2012-04-18 07:13:23  7         57          200           46
13440 096092   3  3 A
      2012-04-17 00:04:58  2         67          176           39
      2012-04-17 00:08:54  4         67          175           39
13440 096092   3  3 P 3 2012-04-17 03:59:00 -42.951  147.345  0.000 401677060
      2012-04-17 03:59:01  1         69          181           40
      2012-04-17 04:02:57 14         69          180           40
13440 096092   2  3 N 3 2012-04-17 04:08:21 -42.950  147.347  0.000 401677063
      2012-04-17 04:12:17 10         69          180           40
13440 096092   5  3 P 3 2012-04-17 05:40:32 -42.949  147.362  0.000 401677081
      2012-04-17 05:39:48  1         70          183           32
      2012-04-17 05:41:46  1         70          184           40
      2012-04-17 05:42:16  3         70          183           40
      2012-04-17 05:44:14  9         70          183           41
13440 096092   2  3 K
      2012-04-17 05:50:37  4         70          183           41
13440 096092   4  3 N 3 2012-04-17 05:48:54 -42.948  147.360  0.000 401677083
      2012-04-17 05:44:14  1         68          183           41
      2012-04-17 05:53:05  4         70          183           40
      2012-04-17 05:53:34 10         70          183           41
13440 096092   6  3 M 1 2012-04-17 19:11:31 -42.958  147.353  0.000 401677104
